新規求人数（新規学卒者を除きパートタイムを含む）【実数】,,,,,,,,,,,,,,,,,,,,,新規求人数（新規学卒者を除きパートタイムを含む）【季節調整値】,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実　　　　　　　　　　　　　　　　　　　　　　　　　　　　　数,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均",年平均,年度平均,季　　　　　節　　　　　調　　　　　整　　　　　値,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均",
,05年,17年,"841,905 ","828,807 ","936,394 ","821,630 ","756,455 ","820,660 ","797,390 ","829,185 ","873,986 ","868,499 ","826,835 ","706,294 ","869,035 ","799,582 ","833,520 ","800,543 ","825,670 ","839,899 ",,05年,17年,"800,057 ","800,017 ","818,414 ","821,530 ","829,649 ","834,263 ","832,003 ","834,107 ","834,544 ","829,994 ","855,905 ","841,041 ","806,163 ","828,481 ","833,551 ","842,313 ",
,06年,18年,"900,012 ","917,542 ","960,296 ","841,269 ","819,901 ","849,159 ","833,193 ","867,484 ","893,160 ","883,005 ","835,069 ","730,327 ","925,950 ","836,776 ","864,612 ","816,134 ","860,868 ","851,663 ",,06年,18年,"852,862 ","865,769 ","844,771 ","858,312 ","869,166 ","861,830 ","867,435 ","863,916 ","857,953 ","830,677 ","855,417 ","856,829 ","854,467 ","863,103 ","863,101 ","847,641 ",
,07年,19年,"874,578 ","876,987 ","915,825 ","813,362 ","801,118 ","789,840 ","799,012 ","809,019 ","775,087 ","848,976 ","743,772 ","620,196 ","889,130 ","801,440 ","794,373 ","737,648 ","805,648 ","774,948 ",,07年,19年,"825,291 ","842,244 ","844,035 ","836,212 ","823,085 ","819,578 ","810,943 ","799,197 ","779,312 ","769,743 ","748,010 ","733,423 ","837,190 ","826,292 ","796,484 ","750,392 ",
,08年,20年,"788,568 ","789,810 ","720,611 ","711,010 ","676,470 ","648,454 ","690,886 ","636,546 ","670,953 ","695,583 ","567,502 ","545,714 ","766,330 ","678,645 ","666,128 ","602,933 ","678,509 ","633,208 ",,08年,20年,"738,734 ","741,011 ","687,760 ","702,162 ","702,404 ","684,611 ","670,503 ","669,081 ","645,485 ","634,327 ","623,862 ","646,836 ","722,502 ","696,392 ","661,690 ","635,008 ",
,09年,21年,"643,207 ","552,204 ","559,966 ","522,317 ","443,386 ","503,546 ","529,071 ","482,549 ","531,560 ","565,097 ","489,010 ","450,947 ","585,126 ","489,750 ","514,393 ","501,685 ","522,738 ","517,976 ",,09年,21年,"603,284 ","525,404 ","523,109 ","516,148 ","493,498 ","509,473 ","513,653 ","512,577 ","525,120 ","524,960 ","525,780 ","532,497 ","550,599 ","506,373 ","517,117 ","527,746 ",
,10年,22年,"556,881 ","540,525 ","600,828 ","552,067 ","497,959 ","568,229 ","578,023 ","574,031 ","623,768 ","643,538 ","599,677 ","522,190 ","566,078 ","539,418 ","591,941 ","588,468 ","571,476 ","595,808 ",,10年,22年,"529,683 ","515,424 ","537,858 ","542,156 ","557,609 ","571,488 ","575,767 ","590,956 ","599,830 ","616,858 ","619,941 ","616,063 ","527,655 ","557,084 ","588,851 ","617,621 ",
,11年,23年,"661,795 ","664,395 ","664,022 ","619,556 ","584,345 ","639,608 ","648,582 ","679,635 ","701,898 ","719,365 ","684,716 ","597,353 ","663,404 ","614,503 ","676,705 ","667,145 ","655,439 ","679,762 ",,11年,23年,"627,421 ","635,217 ","599,542 ","623,808 ","635,577 ","643,256 ","667,304 ","671,104 ","675,209 ","692,019 ","700,299 ","702,410 ","620,727 ","634,214 ","671,206 ","698,243 ",
,12年,24年,"744,046 ","772,786 ","765,250 ","707,643 ","727,377 ","716,929 ","731,724 ","751,047 ","739,262 ","818,963 ","741,893 ","628,292 ","760,694 ","717,316 ","740,678 ","729,716 ","737,101 ","748,283 ",,12年,24年,"706,425 ","710,037 ","716,249 ","724,667 ","735,556 ","733,296 ","734,553 ","744,934 ","738,931 ","737,931 ","742,311 ","745,455 ","710,904 ","731,173 ","739,473 ","741,899 ",
,13年,25年,"813,874 ","809,267 ","793,120 ","782,029 ","774,496 ","744,027 ","826,655 ","783,452 ","807,361 ","907,268 ","793,007 ","696,509 ","805,420 ","766,851 ","805,823 ","798,928 ","794,255 ","811,354 ",,13年,25年,"750,781 ","774,550 ","775,531 ","766,816 ","780,614 ","794,192 ","797,506 ","800,444 ","816,314 ","819,874 ","811,925 ","825,575 ","766,954 ","780,541 ","804,755 ","819,125 ",
,14年,26年,"919,073 ","866,811 ","835,558 ","860,474 ","805,563 ","804,167 ","863,997 ","778,650 ","858,232 ","917,184 ","758,366 ","735,250 ","873,814 ","823,401 ","833,626 ","803,600 ","833,610 ","840,423 ",,14年,26年,"839,464 ","830,784 ","832,197 ","845,535 ","829,114 ","836,105 ","834,060 ","832,434 ","836,006 ","828,391 ","839,846 ","846,804 ","834,148 ","836,918 ","834,167 ","838,347 ",
,15年,27年,"946,562 ","881,491 ","875,144 ","861,080 ","773,440 ","858,643 ","901,248 ","816,451 ","865,949 ","966,747 ","828,806 ","780,980 ","901,066 ","831,054 ","861,216 ","858,844 ","863,045 ","876,072 ",,15年,27年,"852,347 ","840,734 ","824,944 ","846,279 ","854,315 ","856,617 ","868,730 ","877,094 ","866,227 ","894,624 ","894,906 ","887,959 ","839,342 ","852,404 ","870,684 ","892,496 ",
