新規求人数（新規学卒者及びパートタイムを除く）【実数】,,,,,,,,,,,,,,,,,,,,,新規求人数（新規学卒者及びパートタイムを除く）【季節調整値】,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実　　　　　　　　　　　　　　　　　　　　　　　　　　　　　数,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均",年平均,年度平均,季　　　　　節　　　　　調　　　　　整　　　　　値,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均"
,11年,23年,"416,676 ","416,093 ","402,740 ","401,612 ","371,281 ","402,072 ","417,631 ","436,060 ","443,018 ","450,639 ","426,429 ","376,429 ","411,836 ","391,655 ","432,236 ","417,832 ","413,390 ","428,209 ",,11年,23年,"391,538 ","400,163 ","373,798 ","404,343 ","402,246 ","403,090 ","422,921 ","424,967 ","426,462 ","436,650 ","442,771 ","438,369 ","388,500 ","403,226 ","424,783 ","439,263 "
,12年,24年,"468,318 ","479,945 ","465,068 ","443,657 ","452,153 ","445,704 ","462,316 ","470,590 ","456,809 ","505,155 ","450,655 ","389,985 ","471,110 ","447,171 ","463,238 ","448,598 ","457,530 ","462,442 ",,12年,24年,"441,628 ","444,651 ","447,730 ","453,680 ","456,289 ","456,780 ","456,456 ","461,404 ","456,301 ","457,742 ","457,756 ","459,185 ","444,670 ","455,583 ","458,054 ","458,228 "
,13年,25年,"505,092 ","495,096 ","472,092 ","480,999 ","476,002 ","455,534 ","517,825 ","491,160 ","502,413 ","558,626 ","487,490 ","437,621 ","490,760 ","470,845 ","503,799 ","494,579 ","489,996 ","501,211 ",,13年,25年,"462,062 ","477,370 ","473,730 ","470,946 ","480,923 ","486,988 ","490,824 ","495,285 ","507,029 ","506,337 ","504,420 ","513,644 ","471,054 ","479,619 ","497,713 ","508,134 "
,14年,26年,"573,112 ","530,284 ","503,468 ","527,496 ","491,879 ","491,783 ","538,488 ","480,276 ","523,613 ","559,797 ","457,679 ","450,416 ","535,621 ","503,719 ","514,126 ","489,297 ","510,691 ","511,962 ",,14年,26年,"520,076 ","513,418 ","513,226 ","517,944 ","507,961 ","513,166 ","510,847 ","507,686 ","509,353 ","507,237 ","509,467 ","511,743 ","515,573 ","513,024 ","509,295 ","509,482 "
,15年,27年,"582,632 ","526,933 ","512,554 ","521,076 ","464,000 ","514,791 ","550,674 ","492,758 ","522,549 ","572,935 ","490,245 ","472,750 ","540,706 ","499,956 ","521,994 ","511,977 ","518,658 ","524,119 ",,15年,27年,"521,459 ","508,411 ","495,601 ","512,269 ","513,586 ","513,894 ","522,684 ","524,647 ","519,331 ","530,813 ","533,772 ","530,624 ","508,490 ","513,250 ","522,221 ","531,736 "
,16年,28年,"583,607 ","568,498 ","535,539 ","531,119 ","503,452 ","538,620 ","536,397 ","531,861 ","562,852 ","566,063 ","529,959 ","510,369 ","562,548 ","524,397 ","543,703 ","535,464 ","541,528 ","547,679 ",,16年,28年,"532,650 ","543,015 ","517,610 ","534,455 ","543,678 ","538,527 ","543,400 ","540,174 ","549,103 ","549,661 ","550,989 ","565,576 ","531,092 ","538,887 ","544,226 ","555,409 "
,17年,29年,"599,803 ","589,069 ","572,583 ","551,844 ","541,335 ","578,416 ","557,935 ","570,341 ","602,056 ","605,893 ","562,182 ","562,558 ","587,152 ","557,198 ","576,777 ","576,878 ","574,501 ","578,390 ",,17年,29年,"550,481 ","549,983 ","555,682 ","560,750 ","562,050 ","573,744 ","569,385 ","581,163 ","582,579 ","576,620 ","590,869 ","612,452 ","552,049 ","565,515 ","577,709 ","593,314 "
,18年,30年,"615,272 ","599,996 ","592,856 ","576,562 ","579,273 ","583,829 ","578,433 ","591,706 ",,,,,"602,708 ","579,888 ",,,,,,18年,30年,"549,252 ","576,808 ","589,437 ","590,921 ","584,062 ","591,399 ","576,530 ","581,644 ",,,,,"571,832 ","588,794 ",,
,（注） 昭和48年から沖縄を含む。ただし、昭和47年度平均には沖縄を含む。,,,,,,,,,,,,,,,,,,,,,（注） 1. 季節調整法はセンサス局法�(X-12-ARIMA)による。,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,       2. 昭和48年から沖縄を含む。,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
