有効求人数（パートタイム）【実数】,,,,,,,,,,,,,,,,,,,,,有効求人数（パートタイム）【季節調整値】,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実　　　　　　　　　　　　　　　　　　　　　　　　　　　　　数,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均",年平均,年度平均,季　　　　　節　　　　　調　　　　　整　　　　　値,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均"
,14年,26年,"826,010 ","866,469 ","917,194 ","892,295 ","865,485 ","860,446 ","854,852 ","842,292 ","879,754 ","911,531 ","895,130 ","858,026 ","869,891 ","872,742 ","858,966 ","888,229 ","872,457 ","888,389 ",,14年,26年,"848,028 ","847,662 ","856,238 ","863,993 ","874,513 ","885,540 ","876,994 ","879,716 ","880,680 ","882,569 ","891,444 ","893,325 ","850,643 ","874,682 ","879,130 ","889,113 "
,15年,27年,"879,119 ","932,306 ","989,433 ","945,843 ","901,935 ","907,843 ","916,170 ","922,874 ","944,083 ","989,293 ","991,587 ","955,281 ","933,619 ","918,540 ","927,709 ","978,720 ","939,647 ","962,456 ",,15年,27年,"901,965 ","908,657 ","911,616 ","915,737 ","924,455 ","925,966 ","937,453 ","960,683 ","960,322 ","969,862 ","980,526 ","993,653 ","907,413 ","922,053 ","952,819 ","981,347 "
,16年,28年,"963,052 ","1,031,572 ","1,079,941 ","1,032,276 ","1,001,729 ","1,001,217 ","987,842 ","997,440 ","1,025,339 ","1,050,921 ","1,053,032 ","1,007,994 ","1,024,855 ","1,011,741 ","1,003,540 ","1,037,316 ","1,019,363 ","1,036,915 ",,16年,28年,"984,119 ","995,256 ","997,598 ","1,006,961 ","1,015,091 ","1,020,742 ","1,027,122 ","1,030,194 ","1,035,150 ","1,039,916 ","1,038,606 ","1,047,862 ","992,324 ","1,014,265 ","1,030,822 ","1,042,128 "
,17年,29年,"1,033,590 ","1,101,687 ","1,149,913 ","1,090,136 ","1,057,767 ","1,052,265 ","1,036,852 ","1,047,900 ","1,070,882 ","1,111,888 ","1,111,727 ","1,082,256 ","1,095,063 ","1,066,723 ","1,051,878 ","1,101,957 ","1,078,905 ","1,087,367 ",,17年,29年,"1,053,521 ","1,057,892 ","1,060,821 ","1,063,305 ","1,063,710 ","1,071,778 ","1,075,924 ","1,083,080 ","1,085,400 ","1,093,263 ","1,100,470 ","1,112,916 ","1,057,411 ","1,066,264 ","1,081,468 ","1,102,216 "
,18年,30年,"1,086,968 ","1,130,023 ","1,169,741 ","1,122,991 ","1,103,501 ","1,078,246 ","1,066,136 ","1,075,364 ",,,,,"1,128,911 ","1,101,579 ",,,,,,18年,30年,"1,109,831 ","1,092,443 ","1,086,211 ","1,092,616 ","1,103,060 ","1,106,461 ","1,096,961 ","1,102,824 ",,,,,"1,096,162 ","1,100,712 ",,
,,,,,,,,,,,,,,,,,,,,,,（注） 季節調整法はセンサス局法�(X-12-ARIMA)による。,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
